Macrotrends Data Download

Capacity Utilization Rate - 50 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1967-01-01,89.390
1967-02-01,87.975
1967-03-01,87.084
1967-04-01,87.509
1967-05-01,86.357
1967-06-01,85.960
1967-07-01,85.383
1967-08-01,86.634
1967-09-01,86.112
1967-10-01,86.433
1967-11-01,87.286
1967-12-01,87.842
1968-01-01,87.384
1968-02-01,87.349
1968-03-01,87.275
1968-04-01,87.057
1968-05-01,87.688
1968-06-01,87.666
1968-07-01,87.190
1968-08-01,87.094
1968-09-01,87.086
1968-10-01,86.922
1968-11-01,87.709
1968-12-01,87.649
1969-01-01,87.852
1969-02-01,88.096
1969-03-01,88.468
1969-04-01,87.827
1969-05-01,87.183
1969-06-01,87.722
1969-07-01,87.873
1969-08-01,87.764
1969-09-01,87.436
1969-10-01,87.155
1969-11-01,86.032
1969-12-01,85.502
1970-01-01,83.641
1970-02-01,83.325
1970-03-01,82.956
1970-04-01,82.485
1970-05-01,82.133
1970-06-01,81.613
1970-07-01,81.561
1970-08-01,81.165
1970-09-01,80.357
1970-10-01,78.509
1970-11-01,77.795
1970-12-01,79.339
1971-01-01,79.726
1971-02-01,79.371
1971-03-01,79.083
1971-04-01,79.325
1971-05-01,79.526
1971-06-01,79.657
1971-07-01,79.226
1971-08-01,78.568
1971-09-01,79.644
1971-10-01,80.039
1971-11-01,80.178
1971-12-01,80.902
1972-01-01,82.626
1972-02-01,83.285
1972-03-01,83.664
1972-04-01,84.278
1972-05-01,84.081
1972-06-01,84.089
1972-07-01,83.784
1972-08-01,84.713
1972-09-01,85.131
1972-10-01,85.983
1972-11-01,86.738
1972-12-01,87.448
1973-01-01,87.800
1973-02-01,88.785
1973-03-01,88.528
1973-04-01,88.102
1973-05-01,88.383
1973-06-01,88.179
1973-07-01,88.207
1973-08-01,87.783
1973-09-01,88.180
1973-10-01,88.600
1973-11-01,88.727
1973-12-01,88.202
1974-01-01,87.354
1974-02-01,86.844
1974-03-01,86.603
1974-04-01,86.124
1974-05-01,86.593
1974-06-01,86.224
1974-07-01,86.180
1974-08-01,85.085
1974-09-01,84.923
1974-10-01,84.491
1974-11-01,81.558
1974-12-01,78.501
1975-01-01,77.287
1975-02-01,75.399
1975-03-01,74.442
1975-04-01,74.461
1975-05-01,74.135
1975-06-01,74.495
1975-07-01,75.132
1975-08-01,75.745
1975-09-01,76.586
1975-10-01,76.779
1975-11-01,76.746
1975-12-01,77.646
1976-01-01,78.528
1976-02-01,79.162
1976-03-01,79.149
1976-04-01,79.384
1976-05-01,79.530
1976-06-01,79.452
1976-07-01,79.694
1976-08-01,80.071
1976-09-01,80.140
1976-10-01,79.939
1976-11-01,80.973
1976-12-01,81.638
1977-01-01,80.897
1977-02-01,81.989
1977-03-01,82.806
1977-04-01,83.396
1977-05-01,83.831
1977-06-01,84.237
1977-07-01,84.119
1977-08-01,83.975
1977-09-01,84.088
1977-10-01,83.974
1977-11-01,83.892
1977-12-01,83.777
1978-01-01,82.344
1978-02-01,82.553
1978-03-01,83.904
1978-04-01,85.323
1978-05-01,85.500
1978-06-01,85.806
1978-07-01,85.492
1978-08-01,85.613
1978-09-01,85.584
1978-10-01,86.013
1978-11-01,86.432
1978-12-01,86.642
1979-01-01,85.928
1979-02-01,86.129
1979-03-01,86.162
1979-04-01,84.930
1979-05-01,85.457
1979-06-01,85.245
1979-07-01,84.906
1979-08-01,84.160
1979-09-01,83.962
1979-10-01,84.362
1979-11-01,84.050
1979-12-01,83.942
1980-01-01,84.215
1980-02-01,84.088
1980-03-01,83.572
1980-04-01,81.769
1980-05-01,79.606
1980-06-01,78.439
1980-07-01,77.720
1980-08-01,77.811
1980-09-01,78.941
1980-10-01,79.770
1980-11-01,80.916
1980-12-01,81.280
1981-01-01,80.575
1981-02-01,80.047
1981-03-01,80.248
1981-04-01,79.695
1981-05-01,79.949
1981-06-01,80.166
1981-07-01,80.470
1981-08-01,80.169
1981-09-01,79.581
1981-10-01,78.774
1981-11-01,77.682
1981-12-01,76.682
