date,fed-funds-rate-historical-chart_monthly_value,1-year-treasury-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,debt-to-gdp-ratio-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,capacity-utilization-rate-historical-chart_monthly_value,industrial-production-historical-chart_monthly_value,retail-sales-historical-chart_monthly_value,us-national-unemployment-rate_monthly_value,united-states-population-2023-09-10,united-states-economic-growth-rate_quarterly_expanded_value
Apr-95,6.047333333,6.265789474,6.86,7.062631579,7.360526316,8.26,2.54,65.313,3.93,83.884,71.329,132432,5.8,1.29,1.19
May-95,6.009032258,5.997727273,6.414545455,6.632727273,6.95,7.85,2.54,65.313,3.93,83.971,71.66,133456,5.6,1.29,1.19
Jun-95,6.001333333,5.642272727,5.928636364,6.168181818,6.573181818,7.53,2.54,65.313,3.93,83.938,71.897,134843,5.6,1.29,1.19
Jul-95,5.851935484,5.594,6.0085,6.278,6.721,7.79,2.54,64.739,3.93,83.267,71.592,134286,5.7,1.29,3.4
Aug-95,5.73516129,5.752608696,6.243913043,6.48826087,6.860434783,7.88,2.54,64.739,3.93,84.034,72.534,135069,5.7,1.29,3.4
Sep-95,5.804666667,5.62,6.0015,6.1975,6.549,7.62,2.54,64.739,3.93,84.034,72.825,135210,5.6,1.29,3.4
Oct-95,5.756129032,5.59047619,5.862857143,6.044761905,6.374761905,7.45,2.54,64.183,3.93,83.558,72.713,134317,5.5,1.29,2.72
Nov-95,5.803,5.432857143,5.694285714,5.93047619,6.262857143,7.35,2.54,64.183,3.93,83.404,72.888,135761,5.6,1.29,2.72
Dec-95,5.601935484,5.307,5.5135,5.7115,6.0625,7.11,2.54,64.183,3.93,83.33,73.143,136712,5.6,1.29,2.72
Jan-96,5.56483871,5.087619048,5.362380952,5.652380952,6.051904762,7,3.32,65.042,6.71,82.51,72.747,134906,5.6,1.25,3
Feb-96,5.224482759,4.942,5.3795,5.8055,6.242,7.32,3.32,65.042,6.71,83.315,73.787,136779,5.5,1.25,3
Mar-96,5.314193548,5.342380952,5.966190476,6.268571429,6.604285714,7.69,3.32,65.042,6.71,82.808,73.675,137550,5.5,1.25,3
Apr-96,5.223666667,5.537727273,6.300909091,6.511363636,6.794090909,7.92,3.32,64.25,6.71,83.254,74.415,137525,5.6,1.25,6.67
May-96,5.23516129,5.636818182,6.483181818,6.736818182,6.927727273,8.03,3.32,64.25,6.71,83.487,74.972,138299,5.6,1.25,6.67
Jun-96,5.273333333,5.81,6.6895,6.912,7.059,8.29,3.32,64.25,6.71,83.719,75.532,137886,5.3,1.25,6.67
Jul-96,5.396451613,5.850909091,6.635909091,6.865454545,7.033181818,8.19,3.32,64.255,6.71,83.333,75.532,137791,5.5,1.25,3.59
Aug-96,5.222903226,5.666818182,6.389090909,6.635454545,6.841818182,8.09,3.32,64.255,6.71,83.366,75.913,137632,5.1,1.25,3.59
Sep-96,5.299,5.833,6.597,6.832,7.026,8.16,3.32,64.255,6.71,83.515,76.403,139034,5.2,1.25,3.59
Oct-96,5.238064516,5.55,6.270454545,6.533636364,6.808636364,7.86,3.32,64.447,6.71,83.112,76.393,139735,5.2,1.25,4.15
Nov-96,5.311,5.423157895,5.973157895,6.203684211,6.481578947,7.52,3.32,64.447,6.71,83.446,77.067,139233,5.4,1.25,4.15
Dec-96,5.294516129,5.471904762,6.068095238,6.302380952,6.552380952,7.64,3.32,64.447,6.71,83.569,77.554,139529,5.4,1.25,4.15
Jan-97,5.254516129,5.612380952,6.333333333,6.579047619,6.826666667,7.88,1.7,64.344,3.37,83.32,77.695,140201,5.3,1.27,2.58
Feb-97,5.185714286,5.525263158,6.198947368,6.419473684,6.687894737,7.65,1.7,64.344,3.37,83.89,78.612,141153,5.2,1.27,2.58
Mar-97,5.386129032,5.7955,6.537,6.6945,6.9325,7.97,1.7,64.344,3.37,83.99,79.102,141528,5.2,1.27,2.58
Apr-97,5.507333333,5.988181818,6.759090909,6.885454545,7.092727273,8.08,1.7,63.109,3.37,83.633,79.168,140472,5.1,1.27,6.65
May-97,5.504193548,5.86952381,6.567619048,6.710952381,6.935714286,7.94,1.7,63.109,3.37,83.657,79.608,139418,4.9,1.27,6.65
Jun-97,5.555666667,5.691904762,6.375238095,6.493809524,6.772380952,7.58,1.7,63.109,3.37,83.59,79.98,141109,5,1.27,6.65
Jul-97,5.521290323,5.541818182,6.120909091,6.220454545,6.51,7.43,1.7,62.487,3.37,83.816,80.649,142583,4.9,1.27,5
Aug-97,5.542258065,5.564761905,6.16,6.298571429,6.578571429,7.58,1.7,62.487,3.37,84.158,81.455,142605,4.8,1.27,5
Sep-97,5.540666667,5.523809524,6.106190476,6.208571429,6.495238095,7.28,1.7,62.487,3.37,84.427,82.212,142873,4.9,1.27,5
Oct-97,5.496129032,5.456363636,5.928181818,6.029545455,6.326363636,7.21,1.7,62.77,3.37,84.634,82.931,142313,4.7,1.27,3.44
Nov-97,5.521666667,5.457222222,5.803888889,5.875,6.109444444,7.17,1.7,62.77,3.37,84.763,83.592,142511,4.6,1.27,3.44
Dec-97,5.50483871,5.525,5.773181818,5.808636364,5.99,6.99,1.7,62.77,3.37,84.594,83.97,142881,4.7,1.27,3.44
Jan-98,5.557419355,5.2445,5.416,5.5445,5.811,7.12,1.61,62.51,2.03,84.419,84.347,142955,4.6,1.26,4
Feb-98,5.505714286,5.308421053,5.492631579,5.574736842,5.891052632,7.09,1.61,62.51,2.03,84.008,84.487,143015,4.6,1.26,4
Mar-98,5.493548387,5.389545455,5.611818182,5.647272727,5.948181818,7.08,1.61,62.51,2.03,83.496,84.521,143878,4.7,1.26,4
Apr-98,5.445333333,5.379047619,5.611904762,5.637619048,5.923809524,7.15,1.61,61.852,2.03,83.263,84.828,145491,4.3,1.26,3.7
May-98,5.488709677,5.44,5.628,5.6525,5.9265,7.07,1.61,61.852,2.03,83.264,85.36,145803,4.4,1.26,3.7
Jun-98,5.558666667,5.408636364,5.524090909,5.496363636,5.703636364,6.96,1.61,61.852,2.03,82.267,84.847,146788,4.5,1.26,3.7
Jul-98,5.535806452,5.358181818,5.461363636,5.461363636,5.676818182,6.97,1.61,60.587,2.03,81.478,84.506,145472,4.5,1.26,5.01
